8161,15
1554,15
1555,15
1649,15
1807,15
9164,15
2671,15
2672,15
2673,15
2674,15
9701,15
2992,15
3038,15
3395,15
3609,15
4072,15
4120,15
5087,15
5178,15
5194,15
5195,15
5219,15
5245,15
5295,15
5358,15
5360,15
19685,15
7424,15
7425,15
7656,15
7792,15
10538,15
19685,15
11959,15
8161,15
1554,15
1555,15
1649,15
1807,15
9164,15
2671,15
2672,15
2673,15
2674,15
9701,15
2992,15
3038,15
3395,15
10538,15
3609,15
8161,15
1554,15
1555,15
1649,15
1807,15
9164,15
2671,15
2672,15
2673,15
2674,15
9701,15
2992,15
3038,15
3395,15
10538,15
3609,15
4072,15
4120,15
11959,15
5087,15
5178,15
5194,15
5195,15
5219,15
5245,15
5295,15
5358,15
5360,15
19685,15
7424,15
7425,15
7656,15
7792,15
